SNES,N64,Gamecube,Wii,DS,3DS,Switch,Xbox,X360,PS1,PS2,PS4,PC
0,0,0,0,0,0,0,0,0,0,0,1,1
,,,,,,,,,,,Uncharted 2,Bastion
